kWp,battery,NPV,peak_ratio,filtered,best_battery
4.2,BAT-5,141503447.30982086,0.4318399737984802,ok,True
4.2,BAT-10,141503447.30982086,0.4318399737984802,ok,False
4.2,BAT-15,141503447.30982086,0.4318399737984802,ok,False
4.2,BAT-20,141503447.30982086,0.4318399737984802,ok,False
4.2,BAT-21,141503447.30982086,0.4318399737984802,ok,False
4.2,BAT-22,141503447.30982086,0.4318399737984802,ok,False
4.2,BAT-23,141503447.30982086,0.4318399737984802,ok,False
4.2,BAT-24,141503447.30982086,0.4318399737984802,ok,False
4.2,BAT-25,141503447.30982086,0.4318399737984802,ok,False
4.2,BAT-26,141503447.30982086,0.4318399737984802,ok,False
4.2,BAT-27,141503447.30982086,0.4318399737984802,ok,False
4.2,BAT-28,141503447.30982086,0.4318399737984802,ok,False
4.2,BAT-29,141503447.30982086,0.4318399737984802,ok,False
4.2,BAT-30,141503447.30982086,0.4318399737984802,ok,False
4.2,BAT-31,141503447.30982086,0.4318399737984802,ok,False
4.2,BAT-32,141503447.30982086,0.4318399737984802,ok,False
4.2,None,141410927.58618137,0.4318399737984802,ok,False
4.8,BAT-5,161618178.82960483,0.49353139862683437,ok,True
4.8,BAT-10,161618178.82960483,0.49353139862683437,ok,False
4.8,BAT-15,161618178.82960483,0.49353139862683437,ok,False
4.8,BAT-20,161618178.82960483,0.49353139862683437,ok,False
4.8,BAT-21,161618178.82960483,0.49353139862683437,ok,False
4.8,BAT-22,161618178.82960483,0.49353139862683437,ok,False
4.8,BAT-23,161618178.82960483,0.49353139862683437,ok,False
4.8,BAT-24,161618178.82960483,0.49353139862683437,ok,False
4.8,BAT-25,161618178.82960483,0.49353139862683437,ok,False
4.8,BAT-26,161618178.82960483,0.49353139862683437,ok,False
4.8,BAT-27,161618178.82960483,0.49353139862683437,ok,False
4.8,BAT-28,161618178.82960483,0.49353139862683437,ok,False
4.8,BAT-29,161618178.82960483,0.49353139862683437,ok,False
4.8,BAT-30,161618178.82960483,0.49353139862683437,ok,False
4.8,BAT-31,161618178.82960483,0.49353139862683437,ok,False
4.8,BAT-32,161618178.82960483,0.49353139862683437,ok,False
4.8,None,160745417.55303308,0.49353139862683437,ok,False
5.4,BAT-5,184918215.17090574,0.5552228234551889,ok,True
5.4,BAT-10,184918215.17090574,0.5552228234551889,ok,False
5.4,BAT-15,184918215.17090574,0.5552228234551889,ok,False
5.4,BAT-20,184918215.17090574,0.5552228234551889,ok,False
5.4,BAT-21,184918215.17090574,0.5552228234551889,ok,False
5.4,BAT-22,184918215.17090574,0.5552228234551889,ok,False
5.4,BAT-23,184918215.17090574,0.5552228234551889,ok,False
5.4,BAT-24,184918215.17090574,0.5552228234551889,ok,False
5.4,BAT-25,184918215.17090574,0.5552228234551889,ok,False
5.4,BAT-26,184918215.17090574,0.5552228234551889,ok,False
5.4,BAT-27,184918215.17090574,0.5552228234551889,ok,False
5.4,BAT-28,184918215.17090574,0.5552228234551889,ok,False
5.4,BAT-29,184918215.17090574,0.5552228234551889,ok,False
5.4,BAT-30,184918215.17090574,0.5552228234551889,ok,False
5.4,BAT-31,184918215.17090574,0.5552228234551889,ok,False
5.4,BAT-32,184918215.17090574,0.5552228234551889,ok,False
5.4,None,182845882.6396979,0.5552228234551889,ok,False
6.0,BAT-5,205335967.44100592,0.6169142482835432,ok,True
6.0,BAT-10,205335967.44100592,0.6169142482835432,ok,False
6.0,BAT-15,205335967.44100592,0.6169142482835432,ok,False
6.0,BAT-20,205335967.44100592,0.6169142482835432,ok,False
6.0,BAT-21,205335967.44100592,0.6169142482835432,ok,False
6.0,BAT-22,205335967.44100592,0.6169142482835432,ok,False
6.0,BAT-23,205335967.44100592,0.6169142482835432,ok,False
6.0,BAT-24,205335967.44100592,0.6169142482835432,ok,False
6.0,BAT-25,205335967.44100592,0.6169142482835432,ok,False
6.0,BAT-26,205335967.44100592,0.6169142482835432,ok,False
6.0,BAT-27,205335967.44100592,0.6169142482835432,ok,False
6.0,BAT-28,205335967.44100592,0.6169142482835432,ok,False
6.0,BAT-29,205335967.44100592,0.6169142482835432,ok,False
6.0,BAT-30,205335967.44100592,0.6169142482835432,ok,False
6.0,BAT-31,205335967.44100592,0.6169142482835432,ok,False
6.0,BAT-32,205335967.44100592,0.6169142482835432,ok,False
6.0,None,202046552.44262305,0.6169142482835432,ok,False
6.6,BAT-5,225753719.71110615,0.6786056731118975,ok,True
6.6,BAT-10,225753719.71110615,0.6786056731118975,ok,False
6.6,BAT-15,225753719.71110615,0.6786056731118975,ok,False
6.6,BAT-20,225753719.71110615,0.6786056731118975,ok,False
6.6,BAT-21,225753719.71110615,0.6786056731118975,ok,False
6.6,BAT-22,225753719.71110615,0.6786056731118975,ok,False
6.6,BAT-23,225753719.71110615,0.6786056731118975,ok,False
6.6,BAT-24,225753719.71110615,0.6786056731118975,ok,False
6.6,BAT-25,225753719.71110615,0.6786056731118975,ok,False
6.6,BAT-26,225753719.71110615,0.6786056731118975,ok,False
6.6,BAT-27,225753719.71110615,0.6786056731118975,ok,False
6.6,BAT-28,225753719.71110615,0.6786056731118975,ok,False
6.6,BAT-29,225753719.71110615,0.6786056731118975,ok,False
6.6,BAT-30,225753719.71110615,0.6786056731118975,ok,False
6.6,BAT-31,225753719.71110615,0.6786056731118975,ok,False
6.6,BAT-32,225753719.71110615,0.6786056731118975,ok,False
6.6,None,221247222.24554878,0.6786056731118975,ok,False
7.2,BAT-5,246171471.98120597,0.7402970979402519,ok,True
7.2,BAT-10,246171471.98120597,0.7402970979402519,ok,False
7.2,BAT-15,246171471.98120597,0.7402970979402519,ok,False
7.2,BAT-20,246171471.98120597,0.7402970979402519,ok,False
7.2,BAT-21,246171471.98120597,0.7402970979402519,ok,False
7.2,BAT-22,246171471.98120597,0.7402970979402519,ok,False
7.2,BAT-23,246171471.98120597,0.7402970979402519,ok,False
7.2,BAT-24,246171471.98120597,0.7402970979402519,ok,False
7.2,BAT-25,246171471.98120597,0.7402970979402519,ok,False
7.2,BAT-26,246171471.98120597,0.7402970979402519,ok,False
7.2,BAT-27,246171471.98120597,0.7402970979402519,ok,False
7.2,BAT-28,246171471.98120597,0.7402970979402519,ok,False
7.2,BAT-29,246171471.98120597,0.7402970979402519,ok,False
7.2,BAT-30,246171471.98120597,0.7402970979402519,ok,False
7.2,BAT-31,246171471.98120597,0.7402970979402519,ok,False
7.2,BAT-32,246171471.98120597,0.7402970979402519,ok,False
7.2,None,240447892.0484741,0.7402970979402519,ok,False
7.8,BAT-5,266585634.89482412,0.8019885227686061,ok,True
7.8,BAT-10,266585634.89482412,0.8019885227686061,ok,False
7.8,BAT-15,266585634.89482412,0.8019885227686061,ok,False
7.8,BAT-20,266585634.89482412,0.8019885227686061,ok,False
7.8,BAT-21,266585634.89482412,0.8019885227686061,ok,False
7.8,BAT-22,266585634.89482412,0.8019885227686061,ok,False
7.8,BAT-23,266585634.89482412,0.8019885227686061,ok,False
7.8,BAT-24,266585634.89482412,0.8019885227686061,ok,False
7.8,BAT-25,266585634.89482412,0.8019885227686061,ok,False
7.8,BAT-26,266585634.89482412,0.8019885227686061,ok,False
7.8,BAT-27,266585634.89482412,0.8019885227686061,ok,False
7.8,BAT-28,266585634.89482412,0.8019885227686061,ok,False
7.8,BAT-29,266585634.89482412,0.8019885227686061,ok,False
7.8,BAT-30,266585634.89482412,0.8019885227686061,ok,False
7.8,BAT-31,266585634.89482412,0.8019885227686061,ok,False
7.8,BAT-32,266585634.89482412,0.8019885227686061,ok,False
7.8,None,259617454.09522003,0.8019885227686061,ok,False
8.4,BAT-5,292012609.9436768,0.8636799475969604,ok,True
8.4,BAT-10,292012609.9436768,0.8636799475969604,ok,False
8.4,BAT-15,292012609.9436768,0.8636799475969604,ok,False
8.4,BAT-20,292012609.9436768,0.8636799475969604,ok,False
8.4,BAT-21,292012609.9436768,0.8636799475969604,ok,False
8.4,BAT-22,292012609.9436768,0.8636799475969604,ok,False
8.4,BAT-23,292012609.9436768,0.8636799475969604,ok,False
8.4,BAT-24,292012609.9436768,0.8636799475969604,ok,False
8.4,BAT-25,292012609.9436768,0.8636799475969604,ok,False
8.4,BAT-26,292012609.9436768,0.8636799475969604,ok,False
8.4,BAT-27,292012609.9436768,0.8636799475969604,ok,False
8.4,BAT-28,292012609.9436768,0.8636799475969604,ok,False
8.4,BAT-29,292012609.9436768,0.8636799475969604,ok,False
8.4,BAT-30,292012609.9436768,0.8636799475969604,ok,False
8.4,BAT-31,292012609.9436768,0.8636799475969604,ok,False
8.4,BAT-32,292012609.9436768,0.8636799475969604,ok,False
8.4,None,283591387.9806687,0.8636799475969604,ok,False
9.0,BAT-5,312704934.770241,0.9253713724253148,ok,True
9.0,BAT-10,312704934.770241,0.9253713724253148,ok,False
9.0,BAT-15,312704934.770241,0.9253713724253148,ok,False
9.0,BAT-20,312704934.770241,0.9253713724253148,ok,False
9.0,BAT-21,312704934.770241,0.9253713724253148,ok,False
9.0,BAT-22,312704934.770241,0.9253713724253148,ok,False
9.0,BAT-23,312704934.770241,0.9253713724253148,ok,False
9.0,BAT-24,312704934.770241,0.9253713724253148,ok,False
9.0,BAT-25,312704934.770241,0.9253713724253148,ok,False
9.0,BAT-26,312704934.770241,0.9253713724253148,ok,False
9.0,BAT-27,312704934.770241,0.9253713724253148,ok,False
9.0,BAT-28,312704934.770241,0.9253713724253148,ok,False
9.0,BAT-29,312704934.770241,0.9253713724253148,ok,False
9.0,BAT-30,312704934.770241,0.9253713724253148,ok,False
9.0,BAT-31,312704934.770241,0.9253713724253148,ok,False
9.0,BAT-32,312704934.770241,0.9253713724253148,ok,False
9.0,None,302411686.6062791,0.9253713724253148,ok,False
9.6,BAT-5,333347097.2652934,0.9870627972536687,ok,True
9.6,BAT-10,333347097.2652934,0.9870627972536687,ok,False
9.6,BAT-15,333347097.2652934,0.9870627972536687,ok,False
9.6,BAT-20,333347097.2652934,0.9870627972536687,ok,False
9.6,BAT-21,333347097.2652934,0.9870627972536687,ok,False
9.6,BAT-22,333347097.2652934,0.9870627972536687,ok,False
9.6,BAT-23,333347097.2652934,0.9870627972536687,ok,False
9.6,BAT-24,333347097.2652934,0.9870627972536687,ok,False
9.6,BAT-25,333347097.2652934,0.9870627972536687,ok,False
9.6,BAT-26,333347097.2652934,0.9870627972536687,ok,False
9.6,BAT-27,333347097.2652934,0.9870627972536687,ok,False
9.6,BAT-28,333347097.2652934,0.9870627972536687,ok,False
9.6,BAT-29,333347097.2652934,0.9870627972536687,ok,False
9.6,BAT-30,333347097.2652934,0.9870627972536687,ok,False
9.6,BAT-31,333347097.2652934,0.9870627972536687,ok,False
9.6,BAT-32,333347097.2652934,0.9870627972536687,ok,False
9.6,None,320797245.02546024,0.9870627972536687,ok,False
10.2,BAT-5,354985470.85010165,1.0487542220820234,ok,True
10.2,BAT-10,354985470.85010165,1.0487542220820234,ok,False
10.2,BAT-15,354985470.85010165,1.0487542220820234,ok,False
10.2,BAT-20,354985470.85010165,1.0487542220820234,ok,False
10.2,BAT-21,354985470.85010165,1.0487542220820234,ok,False
10.2,BAT-22,354985470.85010165,1.0487542220820234,ok,False
10.2,BAT-23,354985470.85010165,1.0487542220820234,ok,False
10.2,BAT-24,354985470.85010165,1.0487542220820234,ok,False
10.2,BAT-25,354985470.85010165,1.0487542220820234,ok,False
10.2,BAT-26,354985470.85010165,1.0487542220820234,ok,False
10.2,BAT-27,354985470.85010165,1.0487542220820234,ok,False
10.2,BAT-28,354985470.85010165,1.0487542220820234,ok,False
10.2,BAT-29,354985470.85010165,1.0487542220820234,ok,False
10.2,BAT-30,354985470.85010165,1.0487542220820234,ok,False
10.2,BAT-31,354985470.85010165,1.0487542220820234,ok,False
10.2,BAT-32,354985470.85010165,1.0487542220820234,ok,False
10.2,None,339996632.8891923,1.0487542220820234,ok,False
10.8,BAT-5,375625048.2574166,1.1104456469103778,ok,True
10.8,BAT-10,375625048.2574166,1.1104456469103778,ok,False
10.8,BAT-15,375625048.2574166,1.1104456469103778,ok,False
10.8,BAT-20,375625048.2574166,1.1104456469103778,ok,False
10.8,BAT-21,375625048.2574166,1.1104456469103778,ok,False
10.8,BAT-22,375625048.2574166,1.1104456469103778,ok,False
10.8,BAT-23,375625048.2574166,1.1104456469103778,ok,False
10.8,BAT-24,375625048.2574166,1.1104456469103778,ok,False
10.8,BAT-25,375625048.2574166,1.1104456469103778,ok,False
10.8,BAT-26,375625048.2574166,1.1104456469103778,ok,False
10.8,BAT-27,375625048.2574166,1.1104456469103778,ok,False
10.8,BAT-28,375625048.2574166,1.1104456469103778,ok,False
10.8,BAT-29,375625048.2574166,1.1104456469103778,ok,False
10.8,BAT-30,375625048.2574166,1.1104456469103778,ok,False
10.8,BAT-31,375625048.2574166,1.1104456469103778,ok,False
10.8,BAT-32,375625048.2574166,1.1104456469103778,ok,False
10.8,None,357899787.2146438,1.1104456469103778,ok,False
11.4,BAT-5,396126385.0779579,1.172137071738732,ok,True
11.4,BAT-10,396126385.0779579,1.172137071738732,ok,False
11.4,BAT-15,396126385.0779579,1.172137071738732,ok,False
11.4,BAT-20,396126385.0779579,1.172137071738732,ok,False
11.4,BAT-21,396126385.0779579,1.172137071738732,ok,False
11.4,BAT-22,396126385.0779579,1.172137071738732,ok,False
11.4,BAT-23,396126385.0779579,1.172137071738732,ok,False
11.4,BAT-24,396126385.0779579,1.172137071738732,ok,False
11.4,BAT-25,396126385.0779579,1.172137071738732,ok,False
11.4,BAT-26,396126385.0779579,1.172137071738732,ok,False
11.4,BAT-27,396126385.0779579,1.172137071738732,ok,False
11.4,BAT-28,396126385.0779579,1.172137071738732,ok,False
11.4,BAT-29,396126385.0779579,1.172137071738732,ok,False
11.4,BAT-30,396126385.0779579,1.172137071738732,ok,False
11.4,BAT-31,396126385.0779579,1.172137071738732,ok,False
11.4,BAT-32,396126385.0779579,1.172137071738732,ok,False
11.4,None,374604856.4547226,1.172137071738732,ok,False
12.0,BAT-10,416379681.1346378,1.2338284965670865,ok,True
12.0,BAT-15,416379681.1346378,1.2338284965670865,ok,False
12.0,BAT-20,416379681.1346378,1.2338284965670865,ok,False
12.0,BAT-21,416379681.1346378,1.2338284965670865,ok,False
12.0,BAT-22,416379681.1346378,1.2338284965670865,ok,False
12.0,BAT-23,416379681.1346378,1.2338284965670865,ok,False
12.0,BAT-24,416379681.1346378,1.2338284965670865,ok,False
12.0,BAT-25,416379681.1346378,1.2338284965670865,ok,False
12.0,BAT-26,416379681.1346378,1.2338284965670865,ok,False
12.0,BAT-27,416379681.1346378,1.2338284965670865,ok,False
12.0,BAT-28,416379681.1346378,1.2338284965670865,ok,False
12.0,BAT-29,416379681.1346378,1.2338284965670865,ok,False
12.0,BAT-30,416379681.1346378,1.2338284965670865,ok,False
12.0,BAT-31,416379681.1346378,1.2338284965670865,ok,False
12.0,BAT-32,416379681.1346378,1.2338284965670865,ok,False
12.0,BAT-5,416292453.3165221,1.2338284965670865,ok,False
12.0,None,389160239.07466894,1.2338284965670865,ok,False
12.6,BAT-10,436313759.1864451,1.2955199213954405,ok,True
12.6,BAT-15,436313759.1864451,1.2955199213954405,ok,False
12.6,BAT-20,436313759.1864451,1.2955199213954405,ok,False
12.6,BAT-21,436313759.1864451,1.2955199213954405,ok,False
12.6,BAT-22,436313759.1864451,1.2955199213954405,ok,False
12.6,BAT-23,436313759.1864451,1.2955199213954405,ok,False
12.6,BAT-24,436313759.1864451,1.2955199213954405,ok,False
12.6,BAT-25,436313759.1864451,1.2955199213954405,ok,False
12.6,BAT-26,436313759.1864451,1.2955199213954405,ok,False
12.6,BAT-27,436313759.1864451,1.2955199213954405,ok,False
12.6,BAT-28,436313759.1864451,1.2955199213954405,ok,False
12.6,BAT-29,436313759.1864451,1.2955199213954405,ok,False
12.6,BAT-30,436313759.1864451,1.2955199213954405,ok,False
12.6,BAT-31,436313759.1864451,1.2955199213954405,ok,False
12.6,BAT-32,436313759.1864451,1.2955199213954405,ok,False
12.6,BAT-5,434985573.50378346,1.2955199213954405,ok,False
12.6,None,400949065.6523898,1.2955199213954405,ok,False
13.2,BAT-15,470486699.79539853,1.357211346223795,ok,True
13.2,BAT-20,470486699.79539853,1.357211346223795,ok,False
13.2,BAT-21,470486699.79539853,1.357211346223795,ok,False
13.2,BAT-22,470486699.79539853,1.357211346223795,ok,False
13.2,BAT-23,470486699.79539853,1.357211346223795,ok,False
13.2,BAT-24,470486699.79539853,1.357211346223795,ok,False
13.2,BAT-25,470486699.79539853,1.357211346223795,ok,False
13.2,BAT-26,470486699.79539853,1.357211346223795,ok,False
13.2,BAT-27,470486699.79539853,1.357211346223795,ok,False
13.2,BAT-28,470486699.79539853,1.357211346223795,ok,False
13.2,BAT-29,470486699.79539853,1.357211346223795,ok,False
13.2,BAT-30,470486699.79539853,1.357211346223795,ok,False
13.2,BAT-31,470486699.79539853,1.357211346223795,ok,False
13.2,BAT-32,470486699.79539853,1.357211346223795,ok,False
13.2,BAT-10,470461804.1810303,1.357211346223795,ok,False
13.2,BAT-5,465232718.84510434,1.357211346223795,ok,False
13.2,None,424821367.7253793,1.357211346223795,ok,False
13.8,BAT-15,490574530.8525204,1.4189027710521496,ok,True
13.8,BAT-20,490574530.8525204,1.4189027710521496,ok,False
13.8,BAT-21,490574530.8525204,1.4189027710521496,ok,False
13.8,BAT-22,490574530.8525204,1.4189027710521496,ok,False
13.8,BAT-23,490574530.8525204,1.4189027710521496,ok,False
13.8,BAT-24,490574530.8525204,1.4189027710521496,ok,False
13.8,BAT-25,490574530.8525204,1.4189027710521496,ok,False
13.8,BAT-26,490574530.8525204,1.4189027710521496,ok,False
13.8,BAT-27,490574530.8525204,1.4189027710521496,ok,False
13.8,BAT-28,490574530.8525204,1.4189027710521496,ok,False
13.8,BAT-29,490574530.8525204,1.4189027710521496,ok,False
13.8,BAT-30,490574530.8525204,1.4189027710521496,ok,False
13.8,BAT-31,490574530.8525204,1.4189027710521496,ok,False
13.8,BAT-32,490574530.8525204,1.4189027710521496,ok,False
13.8,BAT-10,489737430.78781253,1.4189027710521496,ok,False
13.8,BAT-5,477500208.6302312,1.4189027710521496,ok,False
13.8,None,432882720.34915745,1.4189027710521496,ok,False
14.4,BAT-20,510527963.05053,1.4805941958805038,ok,True
14.4,BAT-21,510527963.05053,1.4805941958805038,ok,False
14.4,BAT-22,510527963.05053,1.4805941958805038,ok,False
14.4,BAT-23,510527963.05053,1.4805941958805038,ok,False
14.4,BAT-24,510527963.05053,1.4805941958805038,ok,False
14.4,BAT-25,510527963.05053,1.4805941958805038,ok,False
14.4,BAT-26,510527963.05053,1.4805941958805038,ok,False
14.4,BAT-27,510527963.05053,1.4805941958805038,ok,False
14.4,BAT-28,510527963.05053,1.4805941958805038,ok,False
14.4,BAT-29,510527963.05053,1.4805941958805038,ok,False
14.4,BAT-30,510527963.05053,1.4805941958805038,ok,False
14.4,BAT-31,510527963.05053,1.4805941958805038,ok,False
14.4,BAT-32,510527963.05053,1.4805941958805038,ok,False
14.4,BAT-15,510523631.2613512,1.4805941958805038,ok,False
14.4,BAT-10,506681702.9155015,1.4805941958805038,ok,False
14.4,BAT-5,485977456.7052148,1.4805941958805038,ok,False
14.4,None,439779282.86063427,1.4805941958805038,ok,False
15.0,BAT-32,530129965.5296522,1.5422856207088578,ok,True
15.0,BAT-31,530125283.8951037,1.5422856207088578,ok,False
15.0,BAT-26,530114776.2515511,1.5422856207088578,ok,False
15.0,BAT-27,530114776.2515511,1.5422856207088578,ok,False
15.0,BAT-28,530114755.4164559,1.5422856207088578,ok,False
15.0,BAT-29,530112139.040278,1.5422856207088578,ok,False
15.0,BAT-30,530111414.0018646,1.5422856207088578,ok,False
15.0,BAT-21,530105429.0632784,1.5422856207088578,ok,False
15.0,BAT-22,530105429.0632784,1.5422856207088578,ok,False
15.0,BAT-23,530105429.0632784,1.5422856207088578,ok,False
15.0,BAT-24,530104371.3812132,1.5422856207088578,ok,False
15.0,BAT-25,530104340.10576165,1.5422856207088578,ok,False
15.0,BAT-20,530103149.0803011,1.5422856207088578,ok,False
15.0,BAT-15,529772973.30015707,1.5422856207088578,ok,False
15.0,BAT-10,520039126.2719181,1.5422856207088578,ok,False
15.0,BAT-5,491947081.1656393,1.5422856207088578,ok,False
15.0,None,445831396.80030346,1.5422856207088578,ok,False
15.6,BAT-32,548303916.9356983,1.6039770455372122,ok,True
15.6,BAT-28,548273075.2671094,1.6039770455372122,ok,False
15.6,BAT-29,548272174.7578228,1.6039770455372122,ok,False
15.6,BAT-30,548272174.7578228,1.6039770455372122,ok,False
15.6,BAT-31,548272174.7578228,1.6039770455372122,ok,False
15.6,BAT-27,548265647.421499,1.6039770455372122,ok,False
15.6,BAT-22,548242002.6302717,1.6039770455372122,ok,False
15.6,BAT-23,548240814.2073855,1.6039770455372122,ok,False
15.6,BAT-24,548240596.0225049,1.6039770455372122,ok,False
15.6,BAT-25,548240596.0225049,1.6039770455372122,ok,False
15.6,BAT-26,548240596.0225049,1.6039770455372122,ok,False
15.6,BAT-20,548230678.2651055,1.6039770455372122,ok,False
15.6,BAT-21,548230678.2651055,1.6039770455372122,ok,False
15.6,BAT-15,546976724.6546155,1.6039770455372122,ok,False
15.6,BAT-10,529327306.5117619,1.6039770455372122,ok,False
15.6,BAT-5,496505782.4437407,1.6039770455372122,ok,False
15.6,None,451117590.49264014,1.6039770455372122,ok,False
16.2,BAT-30,563926362.0913049,1.6656684703655666,ok,True
16.2,BAT-31,563920690.7885493,1.6656684703655666,ok,False
16.2,BAT-32,563918173.4520625,1.6656684703655666,ok,False
16.2,BAT-29,563890907.462343,1.6656684703655666,ok,False
16.2,BAT-25,563869514.8079915,1.6656684703655666,ok,False
16.2,BAT-26,563866407.22974,1.6656684703655666,ok,False
16.2,BAT-27,563864974.4300079,1.6656684703655666,ok,False
16.2,BAT-28,563864697.7253714,1.6656684703655666,ok,False
16.2,BAT-24,563854746.9336702,1.6656684703655666,ok,False
16.2,BAT-20,563842407.8212003,1.6656684703655666,ok,False
16.2,BAT-21,563842081.1521976,1.6656684703655666,ok,False
16.2,BAT-22,563841349.9648763,1.6656684703655666,ok,False
