Año_mes,Tarifa_Compra_COP_kWh,Tarifa_Venta_COP_kWh,Demanda_kWh,Generacion_PV_AC_kWh,PV_a_Carga_kWh,Bateria_a_Carga_kWh,Importacion_Red_kWh,PV_a_Bateria_kWh,Exportacion_kWh,Curtailment_kWh,Energia_No_Servida_kWh,Ahorros_Compra_Energia_COP,Ingreso_Exportacion_COP,Utilidades_en_Venta_COP,Ahorro_COP,NPV_COP,Utilidades_Netas_COP
01-01,900.0,120.0,2000.0000000000005,2181.3303580384186,1578.4180022345772,421.5819977654232,0,468.4244419615818,602.912355803841,0.0,0,1800000.0000000005,72349.48269646092,72349.48269646092,1872349.4826964615,-79315247.74880075,1872349.4826964615
01-02,903.6667114052835,120.4888948540378,2040.0,2168.0857932298723,1606.4978939068856,433.5021060931144,0,481.66900677012717,561.5878993229871,0.0,0,1843480.0912667783,67665.10535282736,67665.10535282736,1911145.1966196056,-77419580.38437729,1911145.1966196056
01-03,907.3483614467111,120.97978152622814,2099.9999999999995,2148.218946017055,1648.6177314153483,451.3822685846513,0,501.5358539829448,499.60121460170626,0.0,0,1905431.5590380928,60441.64579275264,60441.64579275264,1965873.2048308456,-75477540.35011746,1965873.2048308456
01-04,911.0450109861355,121.47266813148472,2160.0,2128.3520988042346,1690.737568923812,469.26243107618814,0,521.402701195765,437.6145298804228,0.0,0,1967857.2237300526,53158.20455768031,53158.20455768031,2021015.4282877329,-73489127.64602128,2021015.4282877329
01-05,914.7567211333683,121.96756281778244,2200.0000000000005,2115.1075339956897,1718.817460596121,481.18253940387945,0,534.6472660043104,396.2900733995686,0.0,0,2012464.7864934106,48334.534421425495,48334.534421425495,2060799.3209148361,-71469799.82870086,2060799.3209148361
01-06,918.4835532471899,122.46447376629199,2160.0,2128.3520988042346,1690.737568923812,469.26243107618814,0,521.402701195765,437.6145298804228,0.0,0,1983924.4750139301,53592.23311428924,53592.23311428924,2037516.7081282195,-69481387.12460467,2037516.7081282195
01-07,922.2255689363641,122.96340919151521,2099.9999999999995,2148.218946017055,1648.6177314153483,451.3822685846513,0,501.5358539829448,499.60121460170626,0.0,0,1936673.694766364,61432.66858364761,61432.66858364761,1998106.3633500116,-67539347.09034485,1998106.3633500116
01-08,925.9828300606564,123.46437734142084,2040.0,2168.0857932298723,1606.4978939068856,433.5021060931144,0,481.66900677012717,561.5878993229871,0.0,0,1889004.9733237391,69336.10031238914,69336.10031238914,1958341.0736361283,-65643679.72592137,1958341.0736361283
01-09,929.7553987318565,123.96738649758086,1960.0000000000002,2194.574922846964,1550.3381105622682,409.661889437732,0,455.17987715303605,644.2368122846952,0.0,0,1822320.581514439,79864.35390446626,79864.35390446626,1902184.9354189052,-63809842.58794637,1902184.9354189052
01-10,933.5433373148054,124.47244497530738,1900.0,2214.4417700597833,1508.218273053805,391.7817269461951,0,435.3130299402166,706.223497005978,0.0,0,1773732.3408981303,87905.36537134575,87905.36537134575,1861637.706269476,-62022378.11980772,1861637.706269476
01-11,937.3467084284262,124.97956112379015,1900.0,2214.4417700597833,1508.218273053805,391.7817269461951,0,435.3130299402166,706.223497005978,0.0,0,1780958.7460140097,88263.50271111545,88263.50271111545,1869222.248725125,-60234913.65166907,1869222.248725125
01-12,941.1655749467589,125.48874332623451,1960.0000000000002,2194.574922846964,1550.3381105622682,409.661889437732,0,455.17987715303605,644.2368122846952,0.0,0,1844684.5268956476,80844.46797810565,80844.46797810565,1925528.9948737533,-58401076.51369407,1925528.9948737533
02-01,945.0000000000006,126.00000000000007,2000.0000000000005,2167.1125650460895,1577.5458851414814,422.4541148585189,0,469.39346095391033,589.5666799046081,0.0,0,1890000.0000000016,74285.40166798067,74285.40166798067,1964285.4016679823,-56537919.24544477,1964285.4016679823
02-02,948.8500469755483,126.51333959673977,2040.0,2153.868000237544,1605.6257768137898,434.3742231862101,0,482.63802576245564,548.2422234237544,0.0,0,1935654.0958301185,69359.95459328112,69359.95459328112,2005014.0504233995,-54643846.863971226,2005014.0504233995
02-03,952.7157795190471,127.02877060253962,2099.9999999999995,2134.0011530247275,1647.7456143222525,452.25438567774694,0,502.5048729752731,486.25553870247387,0.0,0,2000703.1369899986,61768.44328005088,61768.44328005088,2062471.5802700496,-52703401.812661335,2062471.5802700496
02-04,956.5972615354427,127.54630153805904,2160.0,2114.134305811907,1689.8654518307162,470.13454816928385,0,522.371720188093,424.2688539811906,0.0,0,2066250.0849165563,54113.923183091676,54113.923183091676,2120364.0080996477,-50716584.09151509,2120364.0080996477
02-05,960.4945571900372,128.06594095867163,2200.0000000000005,2100.889741003361,1717.9453435030252,482.05465649697516,0,535.6162849966389,382.94439750033587,0.0,0,2113088.0258180825,49042.1346007321,49042.1346007321,2162130.1604188145,-48698851.2571446,2162130.1604188145
02-06,964.40773090955,128.58769745460665,2160.0,2114.134305811907,1689.8654518307162,470.13454816928385,0,522.371720188093,424.2688539811906,0.0,0,2083120.698764628,54555.75503514602,54555.75503514602,2137676.453799774,-46712033.53599835,2137676.453799774
02-07,968.3368473831829,129.11157965109103,2099.9999999999995,2134.0011530247275,1647.7456143222525,452.25438567774694,0,502.5048729752731,486.25553870247387,0.0,0,2033507.3795046837,62781.22071596864,62781.22071596864,2096288.6002206523,-44771588.48468846,2096288.6002206523
02-08,972.2819715636898,129.63759620849194,2040.0,2153.868000237544,1605.6257768137898,434.3742231862101,0,482.63802576245564,548.2422234237544,0.0,0,1983455.221989927,71072.80398465449,71072.80398465449,2054528.0259745815,-42877516.10321492,2054528.0259745815
02-09,976.2431686684499,130.16575582245997,1960.0000000000002,2180.3571298546353,1549.4659934691726,410.53400653082764,0,456.14889614536463,630.8911363854627,0.0,0,1913436.610590162,82120.42160930442,82120.42160930442,1995557.0321994664,-41045273.948189855,1995557.0321994664
02-10,980.2205041805463,130.6960672240728,1900.0,2200.223977067454,1507.3461559607094,392.65384403929056,0,436.2820489325451,692.8778211067452,0.0,0,1862418.957943038,90556.40628543626,90556.40628543626,1952975.3642284744,-39259404.46300115,1952975.3642284744
02-11,984.214043849848,131.2285391799797,1900.0,2200.223977067454,1507.3461559607094,392.65384403929056,0,436.2820489325451,692.8778211067452,0.0,0,1870006.6833147113,90925.34429404547,90925.34429404547,1960932.027608757,-37473534.97781244,1960932.027608757
02-12,988.2238536940974,131.76318049254627,1960.0000000000002,2180.3571298546353,1549.4659934691726,410.53400653082764,0,456.14889614536463,630.8911363854627,0.0,0,1936918.7532404312,83128.22267470535,83128.22267470535,2020046.9759151365,-35641292.822787374,2020046.9759151365
03-01,992.2500000000013,132.3000000000001,2000.0000000000005,2152.965861018723,1576.6781286338512,423.3218713661492,0,470.35763485127717,576.2877323848714,2.7013946635179308e-14,0,1984500.000000003,76242.86699451855,76242.86699451855,2060742.8669945216,-33779722.56257326,2060742.8669945216
03-02,996.2925493243264,132.83900657657676,2040.0,2139.721296210177,1604.7580203061598,435.2419796938402,0,483.6021996598225,534.9632759040176,0.0,0,2032436.8006216257,71063.99012604084,71063.99012604084,2103500.7907476667,-31887237.18913491,2103500.7907476667
03-03,1000.3515684950003,133.3802091326666,2099.9999999999995,2119.854448997359,1646.8778578146223,453.1221421853773,0,503.46904687264015,472.9765911827367,2.7013946635179308e-14,0,2100738.2938395003,63085.716646809175,63085.716646809175,2163824.0104863094,-29948379.145860206,2163824.0104863094
03-04,1004.4271246122157,133.923616614962,2160.0,2099.98760178454,1688.997695323086,471.0023046769141,0,523.3358940854603,410.98990646145353,0.0,0,2169562.589162386,55041.25466556279,55041.25466556279,2224603.843827949,-27963148.43274915,2224603.843827949
03-05,1008.5192850495399,134.4692380066052,2200.0000000000005,2086.743036975994,1717.077586995395,482.92241300460546,0,536.580458894006,369.66544998059885,0.0,0,2218742.427108988,49708.63137625995,49708.63137625995,2268451.058485248,-25947002.606413852,2268451.058485248
03-06,1012.6281174550282,135.01708232733696,2160.0,2099.98760178454,1688.997695323086,471.0023046769141,0,523.3358940854603,410.98990646145353,0.0,0,2187276.7337028612,55490.65803641059,55490.65803641059,2242767.391739272,-23961771.89330279,2242767.391739272
03-07,1016.7536897523428,135.5671586336456,2099.9999999999995,2119.854448997359,1646.8778578146223,453.1221421853773,0,503.46904687264015,472.9765911827367,2.7013946635179308e-14,0,2135182.7484799195,64120.092566871004,64120.092566871004,2199302.8410467906,-22022913.850028086,2199302.8410467906
03-08,1020.896070141875,136.11947601891654,2040.0,2139.721296210177,1604.7580203061598,435.2419796938402,0,483.6021996598225,534.9632759040176,0.0,0,2082627.9830894251,72818.92080541795,72818.92080541795,2155446.903894843,-20130428.476589736,2155446.903894843
03-09,1025.0553271018732,136.67404361358297,1960.0000000000002,2166.210425827268,1548.5982369615422,411.40176303845794,0,457.11307004273147,617.6121888657259,5.4027893270358616e-14,0,2009108.4411196718,84411.55523731466,84411.55523731466,2093519.9963569865,-18299773.329599857,2093519.9963569865
03-10,1029.2315293895745,137.23087058527645,1900.0,2186.077273040088,1506.478399453079,393.5216005469209,0,437.24622282991197,679.5988735870084,0.0,0,1955539.9058401915,93261.94507111839,93261.94507111839,2048801.85091131,-16515490.852446334,2048801.85091131
03-11,1033.4247460423412,137.78996613897868,1900.0,2186.077273040088,1506.478399453079,393.5216005469209,0,437.24622282991197,679.5988735870084,0.0,0,1963507.0174804484,93641.90577964194,93641.90577964194,2057148.9232600904,-14731208.375292812,2057148.9232600904
