Año_mes,Tarifa_Compra_COP_kWh,Tarifa_Venta_COP_kWh,Demanda_kWh,Generacion_PV_AC_kWh,PV_a_Carga_kWh,Bateria_a_Carga_kWh,Importacion_Red_kWh,PV_a_Bateria_kWh,Exportacion_kWh,Curtailment_kWh,Energia_No_Servida_kWh,Ahorros_Compra_Energia_COP,Ingreso_Exportacion_COP,Utilidades_en_Venta_COP,Ahorro_COP,NPV_COP,Utilidades_Netas_COP
01-01,900.0,120.0,2000.0000000000005,2835.112152471226,1588.6932972241034,411.3067027758972,0,457.0074475287746,1246.4188552471223,8.104183990553792e-14,0,1800000.0000000005,149570.26262965467,149570.26262965467,1949570.2626296552,-98918340.29933657,1949570.2626296552
01-02,903.6667114052835,120.4888948540378,2040.0,2825.9720035206506,1620.467163168585,419.53283683141495,0,466.14759647934994,1205.5048403520655,0.0,0,1843480.0912667783,145249.94595521362,145249.94595521362,1988730.037221992,-96945716.43230718,1988730.037221992
01-03,907.3483614467111,120.97978152622814,2099.9999999999995,2812.261780094788,1668.1279620853077,431.8720379146919,0,479.8578199052132,1144.1338180094788,2.7013946635179308e-14,0,1905431.5590380928,138417.059339556,138417.059339556,2043848.6183776488,-94926646.31572886,2043848.6183776488
01-04,911.0450109861355,121.47266813148472,2160.0,2798.5515566689232,1715.7887610020312,444.21123899796885,0,493.5680433310765,1082.7627956668923,1.3506973317589654e-14,0,1967857.2237300526,131526.085743163,131526.085743163,2099383.3094732156,-92861129.94960159,2099383.3094732156
01-05,914.7567211333683,121.96756281778244,2200.0000000000005,2789.4114077183485,1747.5626269465138,452.43737305348674,0,502.70819228165215,1041.8487807718348,0.0,0,2012464.7864934106,127071.7566154188,127071.7566154188,2139536.5431088293,-90764649.41710836,2139536.5431088293
01-06,918.4835532471899,122.46447376629199,2160.0,2798.5515566689232,1715.7887610020312,444.21123899796885,0,493.5680433310765,1082.7627956668923,1.3506973317589654e-14,0,1983924.4750139301,132599.9759850651,132599.9759850651,2116524.4509989955,-88699133.05098109,2116524.4509989955
01-07,922.2255689363641,122.96340919151521,2099.9999999999995,2812.261780094788,1668.1279620853077,431.8720379146919,0,479.8578199052132,1144.1338180094788,2.7013946635179308e-14,0,1936673.694766364,140686.59483375013,140686.59483375013,2077360.289600114,-86680062.93440276,2077360.289600114
01-08,925.9828300606564,123.46437734142084,2040.0,2825.9720035206506,1620.467163168585,419.53283683141495,0,466.14759647934994,1205.5048403520655,0.0,0,1889004.9733237391,148836.9044961367,148836.9044961367,2037841.8778198757,-84707439.06737338,2037841.8778198757
01-09,929.7553987318565,123.96738649758086,1960.0000000000002,2844.252301421801,1556.919431279621,403.0805687203792,0,447.86729857819915,1287.33287014218,0.0,0,1822320.581514439,159587.29146395568,159587.29146395568,1981907.8729783949,-82796743.53307591,1981907.8729783949
01-10,933.5433373148054,124.47244497530738,1900.0,2857.9625248476646,1509.258632362898,390.7413676371021,0,434.1570751523359,1348.7038924847664,1.3506973317589654e-14,0,1773732.3408981303,167876.47104529297,167876.47104529297,1941608.8119434232,-80932494.24832739,1941608.8119434232
