kWp,battery,NPV,peak_ratio,filtered,best_battery
4.8,None,138231288.1189782,0.4935313973762064,ok,False
4.8,BAT-5,138698527.29359338,0.4935313973762064,ok,True
4.8,BAT-10,138698527.29359338,0.4935313973762064,ok,False
4.8,BAT-15,138698527.29359338,0.4935313973762064,ok,False
4.8,BAT-20,138698527.29359338,0.4935313973762064,ok,False
4.8,BAT-21,138698527.29359338,0.4935313973762064,ok,False
4.8,BAT-22,138698527.29359338,0.4935313973762064,ok,False
4.8,BAT-23,138698527.29359338,0.4935313973762064,ok,False
4.8,BAT-24,138698527.29359338,0.4935313973762064,ok,False
4.8,BAT-25,138698527.29359338,0.4935313973762064,ok,False
4.8,BAT-26,138698527.29359338,0.4935313973762064,ok,False
4.8,BAT-27,138698527.29359338,0.4935313973762064,ok,False
4.8,BAT-28,138698527.29359338,0.4935313973762064,ok,False
4.8,BAT-29,138698527.29359338,0.4935313973762064,ok,False
4.8,BAT-30,138698527.29359338,0.4935313973762064,ok,False
4.8,BAT-31,138698527.29359338,0.4935313973762064,ok,False
4.8,BAT-32,138698527.29359338,0.4935313973762064,ok,False
5.4,None,158091641.05094242,0.5552228220482323,ok,False
5.4,BAT-5,159160420.61790526,0.5552228220482323,ok,True
5.4,BAT-10,159160420.61790526,0.5552228220482323,ok,False
5.4,BAT-15,159160420.61790526,0.5552228220482323,ok,False
5.4,BAT-20,159160420.61790526,0.5552228220482323,ok,False
5.4,BAT-21,159160420.61790526,0.5552228220482323,ok,False
5.4,BAT-22,159160420.61790526,0.5552228220482323,ok,False
5.4,BAT-23,159160420.61790526,0.5552228220482323,ok,False
5.4,BAT-24,159160420.61790526,0.5552228220482323,ok,False
5.4,BAT-25,159160420.61790526,0.5552228220482323,ok,False
5.4,BAT-26,159160420.61790526,0.5552228220482323,ok,False
5.4,BAT-27,159160420.61790526,0.5552228220482323,ok,False
5.4,BAT-28,159160420.61790526,0.5552228220482323,ok,False
5.4,BAT-29,159160420.61790526,0.5552228220482323,ok,False
5.4,BAT-30,159160420.61790526,0.5552228220482323,ok,False
5.4,BAT-31,159160420.61790526,0.5552228220482323,ok,False
5.4,BAT-32,159160420.61790526,0.5552228220482323,ok,False
6.0,None,175003607.49303782,0.6169142467202582,ok,False
6.0,BAT-5,176732588.3957182,0.6169142467202582,ok,True
6.0,BAT-10,176732588.3957182,0.6169142467202582,ok,False
6.0,BAT-15,176732588.3957182,0.6169142467202582,ok,False
6.0,BAT-20,176732588.3957182,0.6169142467202582,ok,False
6.0,BAT-21,176732588.3957182,0.6169142467202582,ok,False
6.0,BAT-22,176732588.3957182,0.6169142467202582,ok,False
6.0,BAT-23,176732588.3957182,0.6169142467202582,ok,False
6.0,BAT-24,176732588.3957182,0.6169142467202582,ok,False
6.0,BAT-25,176732588.3957182,0.6169142467202582,ok,False
6.0,BAT-26,176732588.3957182,0.6169142467202582,ok,False
6.0,BAT-27,176732588.3957182,0.6169142467202582,ok,False
6.0,BAT-28,176732588.3957182,0.6169142467202582,ok,False
6.0,BAT-29,176732588.3957182,0.6169142467202582,ok,False
6.0,BAT-30,176732588.3957182,0.6169142467202582,ok,False
6.0,BAT-31,176732588.3957182,0.6169142467202582,ok,False
6.0,BAT-32,176732588.3957182,0.6169142467202582,ok,False
7.2,None,208792861.82112998,0.7402970960643096,ok,False
7.2,BAT-5,211871768.85644168,0.7402970960643096,ok,True
7.2,BAT-10,211871768.85644168,0.7402970960643096,ok,False
7.2,BAT-15,211871768.85644168,0.7402970960643096,ok,False
7.2,BAT-20,211871768.85644168,0.7402970960643096,ok,False
7.2,BAT-21,211871768.85644168,0.7402970960643096,ok,False
7.2,BAT-22,211871768.85644168,0.7402970960643096,ok,False
7.2,BAT-23,211871768.85644168,0.7402970960643096,ok,False
7.2,BAT-24,211871768.85644168,0.7402970960643096,ok,False
7.2,BAT-25,211871768.85644168,0.7402970960643096,ok,False
7.2,BAT-26,211871768.85644168,0.7402970960643096,ok,False
7.2,BAT-27,211871768.85644168,0.7402970960643096,ok,False
7.2,BAT-28,211871768.85644168,0.7402970960643096,ok,False
7.2,BAT-29,211871768.85644168,0.7402970960643096,ok,False
7.2,BAT-30,211871768.85644168,0.7402970960643096,ok,False
7.2,BAT-31,211871768.85644168,0.7402970960643096,ok,False
7.2,BAT-32,211871768.85644168,0.7402970960643096,ok,False
8.4,None,247343465.95515946,0.8636799454083612,ok,False
8.4,BAT-5,251997716.42538652,0.8636799454083612,ok,True
8.4,BAT-10,251997716.42538652,0.8636799454083612,ok,False
8.4,BAT-15,251997716.42538652,0.8636799454083612,ok,False
8.4,BAT-20,251997716.42538652,0.8636799454083612,ok,False
8.4,BAT-21,251997716.42538652,0.8636799454083612,ok,False
8.4,BAT-22,251997716.42538652,0.8636799454083612,ok,False
8.4,BAT-23,251997716.42538652,0.8636799454083612,ok,False
8.4,BAT-24,251997716.42538652,0.8636799454083612,ok,False
8.4,BAT-25,251997716.42538652,0.8636799454083612,ok,False
8.4,BAT-26,251997716.42538652,0.8636799454083612,ok,False
8.4,BAT-27,251997716.42538652,0.8636799454083612,ok,False
8.4,BAT-28,251997716.42538652,0.8636799454083612,ok,False
8.4,BAT-29,251997716.42538652,0.8636799454083612,ok,False
8.4,BAT-30,251997716.42538652,0.8636799454083612,ok,False
8.4,BAT-31,251997716.42538652,0.8636799454083612,ok,False
8.4,BAT-32,251997716.42538652,0.8636799454083612,ok,False
9.0,None,264219241.60579982,0.9253713700803871,ok,False
9.0,BAT-5,269855468.1820478,0.9253713700803871,ok,True
9.0,BAT-10,269855468.1820478,0.9253713700803871,ok,False
9.0,BAT-15,269855468.1820478,0.9253713700803871,ok,False
9.0,BAT-20,269855468.1820478,0.9253713700803871,ok,False
9.0,BAT-21,269855468.1820478,0.9253713700803871,ok,False
9.0,BAT-22,269855468.1820478,0.9253713700803871,ok,False
9.0,BAT-23,269855468.1820478,0.9253713700803871,ok,False
9.0,BAT-24,269855468.1820478,0.9253713700803871,ok,False
9.0,BAT-25,269855468.1820478,0.9253713700803871,ok,False
