Año_mes,Tarifa_Compra_COP_kWh,Tarifa_Venta_COP_kWh,Demanda_kWh,Generacion_PV_AC_kWh,PV_a_Carga_kWh,Bateria_a_Carga_kWh,Importacion_Red_kWh,PV_a_Bateria_kWh,Exportacion_kWh,Curtailment_kWh,Energia_No_Servida_kWh,Ahorros_Compra_Energia_COP,Ingreso_Exportacion_COP,Utilidades_en_Venta_COP,Ahorro_COP,NPV_COP,Utilidades_Netas_COP
01-01,913.2476224522246,114.03786631906556,1988.9552749805755,1872.3291422485452,1551.4862275651708,437.46904741540465,0.0,486.07671935044993,320.8429146833748,0.0,0.0,1816408.6760398212,36588.24141408205,36588.24141408205,1852996.9174539032,-64574521.78921685,1852996.9174539032
01-02,863.280527214066,120.97243529816933,2181.8228781345797,1630.352558357888,1630.352558357889,324.38553386770775,227.08478590898338,360.4283709641198,0.0,0.0,0.0,1687487.3308219304,0.0,0.0,1687487.3308219304,-62900700.947882876,1687487.3308219304
01-03,849.9206102396595,135.82645299418442,2263.757751323861,1821.9823686885186,1746.889930717845,516.8678206060164,0.0,574.29757845113,75.09243797067441,0.0,0.0,1924014.3694399353,10199.539496242518,10199.539496242518,1934213.9089361778,-60989936.389545314,1934213.9089361778
01-04,971.7530867787995,130.03583451824574,2286.8497512714252,1810.5886818590996,1762.8705749988453,523.97917627258,0.0,582.1990847473118,47.7181068602545,0.0,0.0,2222253.3047973374,6205.063847204021,6205.063847204021,2228458.3686445416,-58797427.184152246,2228458.3686445416
01-05,997.2443207566047,121.98881604633614,2116.5745248040266,1605.320785787445,1605.3207857874459,378.05958380654585,133.19415521003592,420.0662042294955,0.0,0.0,0.0,1977914.8094777437,0.0,0.0,1977914.8094777437,-56859315.91124316,1977914.8094777437
01-06,1023.3242063917933,119.03498090806366,1980.0473315552333,1776.7400665871667,1539.1885325005126,440.8587990547207,0.0,489.84311006080065,237.5515340866543,0.0,0.0,2026230.3641819472,28276.94232468613,28276.94232468613,2054507.3065066333,-54854322.080950044,2054507.3065066333
01-07,970.1258527809757,123.2223825677481,2179.139727338593,1657.0856545079378,1657.085654507938,400.75381586557637,121.30025696507856,445.2820176284182,0.0,0.0,0.0,1996363.271082457,0.0,0.0,1996363.271082457,-52913976.22825587,1996363.271082457
01-08,999.8652395747358,139.98406160462292,2051.652285207297,1577.615943441203,1577.615943441203,458.2024779378869,15.833863828208033,509.1138643754299,0.0,0.0,0.0,2035544.0736228642,0.0,0.0,2035544.0736228642,-50943576.6277165,2035544.0736228642
01-09,1089.485077606105,137.44720205649017,2027.984054708611,1526.6840592620563,1526.684059262056,331.66274234027406,169.63725310628053,368.51415815586006,0.0,0.0,0.0,2024641.1093627717,0.0,0.0,2024641.1093627717,-48991683.313724555,2024641.1093627717
01-10,1014.4476268199103,147.29834714755444,1810.3985192073628,1545.6528578742616,1402.4750243281842,407.9234948791785,0.0,453.24832764353124,143.17783354607732,0.0,0.0,1836554.481408189,21089.85822950486,21089.85822950486,1857644.339637694,-47208053.104495965,1857644.339637694
01-11,913.527057678423,160.84462519813806,1827.2157496197044,1721.7303798740998,1425.4228070153956,401.79294260430873,0.0,446.43660289367637,296.30757285870453,0.0,0.0,1669211.0274937628,47659.480499828314,47659.480499828314,1716870.507993591,-45566276.67500678,1716870.507993591
01-12,929.3933389057294,177.28961418892197,1932.519332484764,1852.4156878179774,1509.5006193247534,423.0187131600106,0.0,470.02079240001115,342.9150684932239,0.0,0.0,1796070.5949178862,60795.280192731414,60795.280192731414,1856865.8751106176,-43797832.98442524,1856865.8751106176
02-01,855.7502263353103,187.325921351728,1986.6167269398115,1641.855508173648,1535.659861160467,450.9568657793446,0.0,501.06318419927146,106.19564701318133,0.0,0.0,1700047.7137202572,19893.197420287073,19893.197420287073,1719940.9111405443,-42166440.516289145,1719940.9111405443
02-02,872.1054127632336,174.07886858485142,1971.569291335493,1626.4316945327441,1523.844887186307,447.724404149186,0.0,497.4715601657613,102.58680734643663,0.0,0.0,1719416.250611456,17858.19535459981,17858.19535459981,1737274.4459660558,-40525293.14056418,1737274.4459660558
02-03,840.2099942111512,164.41005051358425,1985.9452180175047,1495.0305248285536,1495.0305248285536,324.7706672585031,166.14402593044818,360.8562969538924,0.0,0.0,0.0,1529015.149068912,0.0,0.0,1529015.149068912,-39086742.46778344,1529015.149068912
02-04,815.034482791615,193.83270668727116,2216.2972516634986,1681.827305276943,1681.8273052769432,398.2001708813382,136.2697755052172,442.44463431259794,0.0,0.0,0.0,1695294.1182230131,0.0,0.0,1695294.1182230131,-37498222.57979533,1695294.1182230131
02-05,758.6793838877875,189.8350203155781,2177.749391993526,1788.792235993861,1682.7295465219393,495.0198454715866,0.0,550.0220505239856,106.06268947192146,0.0,0.0,1652213.566979652,20134.412810627062,20134.412810627062,1672347.9797902792,-35937561.94470093,1672347.9797902792
02-06,799.5145148484808,172.23658999891762,2099.2052110020436,1613.7865280390188,1613.786528039018,482.5272186952578,2.8914642677677778,515.3057039392871,0.0,0.0,0.0,1676033.2681904554,0.0,0.0,1676033.2681904554,-34379808.622137845,1676033.2681904554
02-07,807.1518251974593,185.3471541093032,2084.851222785206,1605.2450223011867,1605.245022301187,479.6062004840191,0.0,547.1654929631553,0.0,0.0,0.0,1682791.469736234,0.0,0.0,1682791.469736234,-32822120.248746667,1682791.469736234
02-08,719.7312002841455,183.61278770066224,1971.2888990317808,1717.2488449580944,1529.2130667772403,442.07583225454056,0.0,491.1953691717113,188.0357781808545,0.0,0.0,1418798.1254069554,34525.77341925005,34525.77341925005,1453323.8988262054,-31482298.82830321,1453323.8988262054
02-09,735.1173782855567,150.67866552989605,1890.6366519250032,1694.2788085152356,1469.5483431289001,421.08830879610304,0.0,467.8758986623378,224.73046538633568,0.0,0.0,1389839.858853691,33862.08662832555,33862.08662832555,1423701.9454820165,-30175111.572508153,1423701.9454820165
02-10,760.3431992553593,143.48367787772156,1932.3773490198414,1819.01331314722,1507.3491673721967,425.0281816476447,0.0,472.25353516405056,311.66414577502366,0.0,0.0,1469269.9757223362,44718.71789841875,44718.71789841875,1513988.6936207549,-28790666.966405217,1513988.6936207549
02-11,748.1945583338295,152.69207353444241,1843.61245231367,1418.4385986544441,1418.4385986544446,425.17385365922536,0.0,468.76676795540624,0.0,0.0,0.0,1379380.8044975747,0.0,0.0,1379380.8044975747,-27534430.619339563,1379380.8044975747
02-12,770.2087645592384,133.8296049733466,1887.0564551107852,1470.7265318049426,1453.2496790850844,433.80677602570086,0.0,482.0075289174459,17.476852719857494,0.0,0.0,1453427.4209444139,2338.9202956758863,2338.9202956758863,1455766.3412400899,-26214007.634087782,1455766.3412400899
03-01,761.0156155488282,160.32644812125878,1879.2880278348464,1806.2726690426798,1468.2208287442422,411.0671990906043,0.0,456.74133232289256,338.0518402984375,0.0,0.0,1430167.535296279,54198.6508359035,54198.6508359035,1484366.1861321826,-24873106.742652856,1484366.1861321826
