kWp,battery,NPV,peak_ratio,filtered,best_battery
13.2,BAT-15,38583499.40673725,1.357211346223795,ok,True
13.2,BAT-20,38583499.40673725,1.357211346223795,ok,False
13.2,BAT-21,38583499.40673725,1.357211346223795,ok,False
13.2,BAT-22,38583499.40673725,1.357211346223795,ok,False
13.2,BAT-23,38583499.40673725,1.357211346223795,ok,False
13.2,BAT-24,38583499.40673725,1.357211346223795,ok,False
13.2,BAT-25,38583499.40673725,1.357211346223795,ok,False
13.2,BAT-26,38583499.40673725,1.357211346223795,ok,False
13.2,BAT-27,38583499.40673725,1.357211346223795,ok,False
13.2,BAT-28,38583499.40673725,1.357211346223795,ok,False
13.2,BAT-29,38583499.40673725,1.357211346223795,ok,False
13.2,BAT-30,38583499.40673725,1.357211346223795,ok,False
13.2,BAT-31,38583499.40673725,1.357211346223795,ok,False
13.2,BAT-32,38583499.40673725,1.357211346223795,ok,False
13.2,BAT-10,38558603.79236904,1.357211346223795,ok,False
13.2,BAT-5,36033584.44480894,1.357211346223795,ok,False
13.2,None,28192773.528865326,1.357211346223795,ok,False
13.8,BAT-15,40083633.36296866,1.4189027710521496,ok,True
13.8,BAT-20,40083633.36296866,1.4189027710521496,ok,False
13.8,BAT-21,40083633.36296866,1.4189027710521496,ok,False
13.8,BAT-22,40083633.36296866,1.4189027710521496,ok,False
13.8,BAT-23,40083633.36296866,1.4189027710521496,ok,False
13.8,BAT-24,40083633.36296866,1.4189027710521496,ok,False
13.8,BAT-25,40083633.36296866,1.4189027710521496,ok,False
13.8,BAT-26,40083633.36296866,1.4189027710521496,ok,False
13.8,BAT-27,40083633.36296866,1.4189027710521496,ok,False
13.8,BAT-28,40083633.36296866,1.4189027710521496,ok,False
13.8,BAT-29,40083633.36296866,1.4189027710521496,ok,False
13.8,BAT-30,40083633.36296866,1.4189027710521496,ok,False
13.8,BAT-31,40083633.36296866,1.4189027710521496,ok,False
13.8,BAT-32,40083633.36296866,1.4189027710521496,ok,False
13.8,BAT-10,39440025.73478509,1.4189027710521496,ok,False
13.8,BAT-5,35080202.50872361,1.4189027710521496,ok,False
13.8,None,27275863.816377245,1.4189027710521496,ok,False
14.4,BAT-20,41575386.15168569,1.4805941958805038,ok,True
14.4,BAT-21,41575386.15168569,1.4805941958805038,ok,False
14.4,BAT-22,41575386.15168569,1.4805941958805038,ok,False
14.4,BAT-23,41575386.15168569,1.4805941958805038,ok,False
14.4,BAT-24,41575386.15168569,1.4805941958805038,ok,False
14.4,BAT-25,41575386.15168569,1.4805941958805038,ok,False
14.4,BAT-26,41575386.15168569,1.4805941958805038,ok,False
14.4,BAT-27,41575386.15168569,1.4805941958805038,ok,False
14.4,BAT-28,41575386.15168569,1.4805941958805038,ok,False
14.4,BAT-29,41575386.15168569,1.4805941958805038,ok,False
14.4,BAT-30,41575386.15168569,1.4805941958805038,ok,False
14.4,BAT-31,41575386.15168569,1.4805941958805038,ok,False
14.4,BAT-32,41575386.15168569,1.4805941958805038,ok,False
14.4,BAT-15,41571054.362506874,1.4805941958805038,ok,False
14.4,BAT-10,39445424.748474546,1.4805941958805038,ok,False
14.4,BAT-5,33879710.11340958,1.4805941958805038,ok,False
14.4,None,26286317.31876488,1.4805941958805038,ok,False
15.0,BAT-32,42810578.45283475,1.5422856207088578,ok,True
15.0,BAT-31,42805896.81828623,1.5422856207088578,ok,False
15.0,BAT-26,42794300.21721687,1.5422856207088578,ok,False
15.0,BAT-27,42794300.21721687,1.5422856207088578,ok,False
15.0,BAT-28,42794300.21721687,1.5422856207088578,ok,False
15.0,BAT-29,42792751.96346058,1.5422856207088578,ok,False
15.0,BAT-30,42792026.925047144,1.5422856207088578,ok,False
15.0,BAT-21,42783864.07142739,1.5422856207088578,ok,False
15.0,BAT-22,42783864.07142739,1.5422856207088578,ok,False
15.0,BAT-23,42783864.07142739,1.5422856207088578,ok,False
15.0,BAT-24,42783864.07142739,1.5422856207088578,ok,False
15.0,BAT-25,42783864.07142739,1.5422856207088578,ok,False
15.0,BAT-20,42781584.08845009,1.5422856207088578,ok,False
15.0,BAT-15,42535269.36380492,1.5422856207088578,ok,False
15.0,BAT-10,38549336.8203545,1.5422856207088578,ok,False
15.0,BAT-5,32603110.30363428,1.5422856207088578,ok,False
15.0,None,25147114.22464883,1.5422856207088578,ok,False
15.6,BAT-32,43263529.6063566,1.6039770455372122,ok,True
15.6,BAT-28,43256318.932139605,1.6039770455372122,ok,False
15.6,BAT-29,43256318.932139605,1.6039770455372122,ok,False
15.6,BAT-30,43256318.932139605,1.6039770455372122,ok,False
15.6,BAT-31,43256318.932139605,1.6039770455372122,ok,False
15.6,BAT-27,43251532.731154844,1.6039770455372122,ok,False
15.6,BAT-22,43244131.860889636,1.6039770455372122,ok,False
