Año_mes,Tarifa_Compra_COP_kWh,Tarifa_Venta_COP_kWh,Demanda_kWh,Generacion_PV_AC_kWh,PV_a_Carga_kWh,Bateria_a_Carga_kWh,Importacion_Red_kWh,PV_a_Bateria_kWh,Exportacion_kWh,Curtailment_kWh,Energia_No_Servida_kWh,Ahorros_Compra_Energia_COP,Ingreso_Exportacion_COP,Utilidades_en_Venta_COP,Ahorro_COP,NPV_COP,Utilidades_Netas_COP
01-01,900.0,120.0,2000.0000000000005,1500.0107618571808,1500.0107618571803,312.1092343285374,187.88000381428228,346.78803814281935,0.0,0.0,0.0,1630907.996567146,0.0,0.0,1630907.996567146,-54955709.56373081,1630907.996567146
01-02,903.6667114052835,120.4888948540378,2040.0,1520.7027049851426,1520.7027049851422,293.4864855133717,225.8108095014857,326.0960950148575,0.0,0.0,0.0,1639422.3796448056,0.0,0.0,1639422.3796448056,-53329564.40893298,1639422.3796448056
01-03,907.3483614467111,120.97978152622814,2099.9999999999995,1551.7406196770858,1551.740619677086,265.5523622906228,282.7070180322915,295.05818032291427,0.0,0.0,0.0,1648917.809457008,0.0,0.0,1648917.809457008,-51700637.17634217,1648917.809457008
01-04,911.0450109861355,121.47266813148472,2160.0,1582.7785343690289,1582.7785343690289,237.61823906787401,339.6032265630972,264.0202656309711,0.0,0.0,0.0,1658463.3984549486,0.0,0.0,1658463.3984549486,-50068927.86595839,1658463.3984549486
01-05,914.7567211333683,121.96756281778244,2200.0000000000005,1603.4704774969907,1603.470477496991,218.99549025270804,377.5340322503012,243.32832250300888,0.0,0.0,0.0,1667112.9930358657,0.0,0.0,1667112.9930358657,-48435363.83704597,1667112.9930358657
01-06,918.4835532471899,122.46447376629199,2160.0,1582.7785343690289,1582.7785343690289,237.61823906787401,339.6032265630972,264.0202656309711,0.0,0.0,0.0,1672004.496786046,0.0,0.0,1672004.496786046,-46803654.52666219,1672004.496786046
01-07,922.2255689363641,122.96340919151521,2099.9999999999995,1551.7406196770858,1551.740619677086,265.5523622906228,282.7070180322915,295.05818032291427,0.0,0.0,0.0,1675954.054219232,0.0,0.0,1675954.054219232,-45174727.294071384,1675954.054219232
01-08,925.9828300606564,123.46437734142084,2040.0,1520.7027049851426,1520.7027049851422,293.4864855133717,225.8108095014857,326.0960950148575,0.0,0.0,0.0,1679908.0408832652,0.0,0.0,1679908.0408832652,-43548582.13927355,1679908.0408832652
01-09,929.7553987318565,123.96738649758086,1960.0000000000002,1479.3188187292187,1479.3188187292185,330.73198314370325,149.94919812707852,367.4799812707814,0.0,0.0,0.0,1682904.505020275,0.0,0.0,1682904.505020275,-41926146.421533,1682904.505020275
01-10,933.5433373148054,124.47244497530738,1900.0,1448.2809040372756,1448.2809040372754,358.6661063664522,93.05298959627271,398.5178959627245,0.0,0.0,0.0,1686863.3424433062,0.0,0.0,1686863.3424433062,-40306492.78158543,1686863.3424433062
